Przemyslaw Stpiczynski	 2D constraint language
Michael Gerharz	 programmable interconnect
Ken Perlin	 programmable logic
Michael Gerke 0002	 programmable logic
Paul E. Rybski	 programmable logic
Michael Gertz	 programmable logic devices
Patrick Lam	 programmable logic devices
Riccardo Poli	 programmable logic devices
Dominik Stein	 programmable processor
Nanjangud C. Narendra	 programmable processor
Roberto Verdone	 programmable processor
Ugo A. Buy	 programmable processor
Dominique Bonvin	 programmable routing controller
Naofal Al-Dhahir	 programmable routing controller
Roberto Vezzani	 programmable routing controller
Ugo Montanari	 programmable routing controller
Russell Beale	 programmable shading
Tobias Sch&uuml;le	 programmable shading
Torben Hagerup	 programmable shading
Vincenzo Della Mea	 programmable shading
Heiko Vogler	 programmable signal processors
Mao Lin Huang	 programmable signal processors
Satish Chandra	 programmable signal processors
Ioana Banicescu	 programmable structuring elements
Rachida Dssouli	 programmable structuring elements
Stefan Brass	 programmable structuring elements
Navin Kabra	 programmer
Kenneth Baclawski	 programmer study.
Laurent Dayn&egrave;s	 programmer study.
P. Krishna Gummadi	 programmer study.
Peter Henderson	 programmer study.
Rosario Pugliese	 programmer study.
Vetle I. Torvik	 programmer study.
Amal El-Nahas	 programmers
Frederic Green	 programmers
Ian S. Burnett	 programmers
Jichang Tan	 programmers
Luca Allulli	 programmers
Luca de Alfaro	 programmers
Max Tuengerthal	 programmers
N. S. Narayanaswamy	 programmers
Sudhakar Yalamanchili	 programmers
Ulrich Bodenhofer	 programmers
Kim S. Larsen	 programming
Markus G&auml;lli	 programming
Mukkai S. Krishnamoorthy	 programming
Munindar P. Singh	 programming
Pando G. Georgiev	 programming
Ralf Steinbr&uuml;ggen	 programming
Randall H. Trigg	 programming
Reiner H&auml;hnle	 programming
Sebastian S. Szyszkowicz	 programming
Sebastian Schaffert	 programming
Thomas A. Funkhouser	 programming
Thomas A. Henzinger	 programming
Xavier Blanc 0002	 programming
Xavier D&eacute;fago	 programming
Yaacov Yesha	 programming
Yaakov HaCohen-Kerner	 programming
Charles Semple	 programming aid
Mirabelle Nebut	 programming aid
Claudio Orlandi	 programming by demonstration
Feihui Li	 programming by demonstration
Franck Cappello	 programming by demonstration
James S. Duncan	 programming by demonstration
Jeffrey A. Fessler	 programming by demonstration
John L. Barron	 programming by demonstration
Martin Warnke	 programming by demonstration
Shi-Kuo Chang	 programming by demonstration
Susan Landau	 programming by demonstration
Thomas Schulze	 programming by demonstration
Campbell Wilson	 programming by example
Can Alkan	 programming by example
Felicia Ionescu	 programming by example
Gerhard Ritter	 programming by example
Gerhard Schwabe	 programming by example
Maria Halkidi	 programming by example
Maria Hybinette	 programming by example
Pete Wyckoff	 programming by example
Peter A. Bloniarz	 programming by example
Pranam Kolari	 programming by example
Qin Ma 0002	 programming by example
Yvonne Rogers	 programming by example
Karsten Berns	 programming construct
Aidan Hogan	 programming environment
Andr&eacute; Schiper	 programming environment
Christian Hammer	 programming environment
Fran&ccedil;ois Jacquenet	 programming environment
Jun Sun 0001	 programming environment
Pietro Perona	 programming environment
Rolf Drechsler	 programming environment
Ronen I. Brafman	 programming environment
Shimon Even	 programming environment
Stephen Montgomery	 programming environment
Aidong Zhang	 programming environments
Albert Y. Zomaya	 programming environments
Anja Remshagen	 programming environments
Beno&icirc;t Caillaud	 programming environments
Berrin A. Yanikoglu	 programming environments
Bj&ouml;rn Landfeldt	 programming environments
Bruce Walter	 programming environments
Catherine Roussey	 programming environments
Christoph Staub	 programming environments
Daniel Cremers	 programming environments
Daniel E. O'Leary	 programming environments
Dov M. Gabbay	 programming environments
Eneko Agirre	 programming environments
Erik Murphy-Chutorian	 programming environments
Ernst Denert	 programming environments
Falko Dressler	 programming environments
Gabriele Di Stefano	 programming environments
Hamid Harroud	 programming environments
Imed Kacem	 programming environments
Jacques Guyot	 programming environments
Jeanne Ferrante	 programming environments
Jonathan K. Millen	 programming environments
Karine Zeitouni	 programming environments
Kwei-Jay Lin	 programming environments
Lawrence Leemis	 programming environments
M&aring;rten Bj&ouml;rkman	 programming environments
Manfred Schmidt-Schau&szlig;	 programming environments
Maria Grazia Buscemi	 programming environments
Maria Wimmer	 programming environments
Mark Keil	 programming environments
Martijn van Welie	 programming environments
Massimo Paolucci 0002	 programming environments
Matthew Andrews	 programming environments
Michael J. Witbrock	 programming environments
Ming Xiong	 programming environments
Mohammad Javad Yazdanpanah	 programming environments
Ngoc Thanh Nguyen	 programming environments
Olaf Delgado Friedrichs	 programming environments
Pang-Ning Tan	 programming environments
Patrick C&eacute;gielski	 programming environments
Peter A. Rogerson	 programming environments
Peter C. Lockemann	 programming environments
Pim Tuyls	 programming environments
Rafael Bidarra	 programming environments
Randi Thomas	 programming environments
Reiner Horst	 programming environments
Robert F. Lax	 programming environments
Roland W. Fleming	 programming environments
Rudolf Ahlswede	 programming environments
Sachin S. Sapatnekar	 programming environments
Satish K. Tripathi	 programming environments
Scott Weinstein	 programming environments
Seong-Whan Lee	 programming environments
Spyros C. Kontogiannis	 programming environments
Svein Erik Bratsberg	 programming environments
Sylvia Radesch&uuml;tz	 programming environments
Sylvie Doutre	 programming environments
Thomas J. Cashman	 programming environments
Tim Cederman-Haysom	 programming environments
Tobias Hildenbrand	 programming environments
Tristan Miller	 programming environments
W. Homer Carlisle	 programming environments
Wilf R. LaLonde	 programming environments
Wolfgang Bibel	 programming environments
Xiaoyi Jiang	 programming environments
Yuzuru Tanaka	 programming environments
Jo&atilde;o L. Sobrinho	 programming language
Joanne M. Atlee	 programming language
Maria J. Serna	 programming language
Michael Joyce	 programming language
Shigang Chen	 programming language
Wee Hyong Tok	 programming language
Ying Yang	 programming language
Aameek Singh	 programming language design
Donald H. Kraft	 programming language design
Mircea-Florin Vaida	 programming language design
Martin Karsten	 programming language semantics
Nan Wang	 programming language semantics
Stefan Dorendorf	 programming language semantics
Clarence A. Ellis	 programming languages
Dmitri V. Krioukov	 programming languages
Jean V&eacute;ronis	 programming languages
Jorma Tarhio	 programming languages
Kurt Maly	 programming languages
Maleq Khan	 programming languages
Maria Halkidi	 programming languages
Maximilian Mengel	 programming languages
Mircea-Florin Vaida	 programming languages
Mitchel Resnick	 programming languages
Olaf Zukunft	 programming languages
Ronald F. Boisvert	 programming languages
Samy Bengio	 programming languages
Stavros Harizopoulos	 programming languages
Tobias Lindahl	 programming languages
Xiaoyin Wang	 programming languages
Wayne Wei-Ming Dai	 programming levels
Karim El Guemhioui	 programming libraries
Michael K&ouml;lling	 programming methods
Yinglian Xie	 programming methods
Andr&eacute; Seifert	 programming model
Christian Hochberger	 programming model
Frederic H. Pighin	 programming model
Jun Sun 0002	 programming model
Peter Honeyman	 programming model
Richard Edwin Stearns	 programming model
Timothy J. Hickey	 programming model
Chi Lap Yip	 programming paradigms
Jean C. Walrand	 programming paradigms
Kai Xu 0003	 programming paradigms
Martin Schaaf	 programming paradigms
Milind Dawande	 programming paradigms
Ren&eacute; Mandiau	 programming paradigms
Sa&iuml;d Zeghloul	 programming paradigms
Bahareh Badban	 Programming Phase.
Karam S. Chatha	 Programming Phase.
Leen Kuijken	 Programming Phase.
Man Chon U	 programming theory
Martin Kusserow	 programming theory
Maurice F. Fallon	 programming theory
Nan Zhang 0002	 programming theory
Nayantara Bhatnagar	 programming theory
Stefan Droste	 programming theory
Stefan Gumhold	 programming theory
Thomas Hofmann	 programming theory
Sylvain Vauttier	 programming with examples
Teodor C. Przymusinski	 programming with examples
Norbert Blum	 programming-by-demonstration
Thomas Perst	 programming-by-demonstration
Gerd Karl Binnig	 programmingsupport systems
Jean-Luc Gaudiot	 programmingsupport systems
Marvin V. Zelkowitz	 ProgramVisualisation
Murray H. Loew	 ProgramVisualisation
Shonali Krishnaswamy	 ProgramVisualisation
Kriengkrai Porkaew	 progressive auctions
M. Tamer &Ouml;zsu	 progressive auctions
Gustav Feichtinger	 progressive learning capability
Mukesh Dalal	 progressive learning capability
Michael Gabbay	 progressive multi-gridding
Michael J. O'Grady	 progressive multi-gridding
Sergio Verd&uacute;	 progressive multi-gridding
Willi Auerbach	 progressive multi-gridding
Fosca Giannotti	 progressive query
Jos&eacute; L. Verdegay	 progressive query
Lucja Kot	 progressive query
Carla Wilkin	 progressive transmission
Catalina Danis	 progressive transmission
Jan F. Broenink	 progressive transmission
Kevin Ross	 progressive transmission
Krzysztof Walczak	 progressive transmission
Manuel Vilares Ferro	 progressive transmission
Ross Wilkinson	 progressive transmission
Stefan Boettcher	 progressive transmission
Mohamed M. Zahran	 prohibitions
Pankaj Jalote	 prohibitions
Ralf Klasing	 prohibitions
Rui Paulo Martins	 prohibitions
Mark R. Tuttle	 project team members
Mathieu Liedloff	 project team members
Peter A. Buhr	 project team members
Sven Helmer	 project team members
Evangelos E. Milios	 projected image
Giancarlo Martella	 projected image
Henrik Loeser	 projected image
Joseph E. Urban	 projected image
Stefan Ha&szlig;feld	 projected image
Andreas Dengel	 projection
Andrew S. Grimshaw	 projection
Barbara G. Ryder	 projection
Fairouz Kamareddine	 projection
Jaroslav Opatrny	 projection
Jogesh K. Muppala	 projection
Maribeth Gandy	 projection
Michael Gamon	 projection
Michael S. Lew	 projection
Mingsheng Hong	 projection
Randal E. Bryant	 projection
Russell Greiner	 projection
Berardina De Carolis	 projection based displays
Sumanta Guha	 projection based displays
Gunnar Farneb&auml;ck	 projection methods
Matthias Scholz	 projection methods
Paul Gr&uuml;nbacher	 projection methods
Metin N. Gurcan	 projection patterns
Pu Li	 projection patterns
Andreas Malcher	 projection screen
Irina Botan	 projection screen
Melanie A. Sutton	 projection screen
Mojgan Kowsari	 projection screen
Olivier Strauss	 projection screen
Roberto Baldoni	 projection screen
Klara Kedem	 projection search
Petri Kontkanen	 projection search
Laura Salter Kubatko	 projections
Il-Yeol Song	 projections into convex sets
Ling-Ling Yan	 projections into convex sets
Jane Hunter	 projection-slice theorem
Kurt Konolige	 projection-slice theorem
Sean Safarpour	 projection-slice theorem
Thomas Spyrou	 projective and permutation invariants
Gerhard Schwabe	 projective constructs
Helen C. Purchase	 projective constructs
J&oacute;zsef B&iacute;r&oacute;	 projective constructs
Ze-Nian Li	 projective constructs
Feifei Li	 projective depth
Gilles Grimaud	 Projective Geometry
Jimmy J. Lin	 projective geometry
Johann Hagauer	 projective geometry
Kristinn R. Th&oacute;risson	 projective geometry
Michael Kuhn 0002	 projective geometry
Minglu Li	 Projective Geometry
Paolo Merialdo	 Projective Geometry
Piero A. Bonatti	 projective geometry
Michael Kuhn 0004	 projective reconstruction
Mircea-Florin Vaida	 Projective Reconstruction
Thomas Stiefmeier	 projective reconstruction
Don Cruickshank	 projective signatures
Helen D. Karatza	 projective signatures
Olle H&auml;ggstr&ouml;m	 projective signatures
Rolf Stadler	 projective signatures
Stefano Mancini	 projective signatures
Timothy A. H. Bell	 projective signatures
Zo&euml; J. Wood	 projective signatures
Feihui Li	 projective structure
Gerhard Theil	 projective structure
Helen J. Wang	 projective structure
J&oslash;rgen Staunstrup	 projective structure
Zenon Kulpa	 projective structure
Andrea Bobbio	 projective texture distortion
Fabio Crestani	 projective transformations
Felicia Ionescu	 projective transformations
Jacques Noy&eacute;	 projective transformations
Mark R. Tuttle	 projective transformations
Andrew S. Tanenbaum	 projector graphics
Bernard A. Galler	 projector graphics
Frank Bellosa	 projector graphics
Nachum Dershowitz	 projector graphics
Arindam Banerjee	 Prolog
Prashant J. Shenoy	 Prolog
Karsten Schmidt 0002	 Prometheus.
R. David Lankes	 Prometheus.
David J. Israel	 PROMO
Isabelle Bloch	 PROMO
Volker Tresp	 PROMO
Laura Tarantino	 promoter
Stefano Crespi-Reghizzi	 promoter
Christoph Walther	 Proof composition
Lin Padgham	 Proof composition
Mitra Basu	 Proof composition
Qiang Shen	 Proof composition
Anthony F. J. van Raan	 proof editor
Bill Lin	 proof editor
Carl Lagoze	 proof editor
Carlo Ghezzi	 proof editor
David Meredith	 proof editor
Andrew Woolf	 proof of correctness
Krzysztof R. Apt	 proof of correctness
Dave A. Thomas	 proof reuse
James Clawson	 proof reuse
Raffaella Gentilini	 proof reuse
Winfried Lamersdorf	 proof reuse
Nikos Mamoulis	 proof rule
Paulo Jorge S. G. Ferreira	 proof rule
Catharine van Ingen	 proof rules
Mark Billinghurst	 proof rules
Nikos Ntarmos	 proof rules
Paulo Martins Engel	 proof rules
Andrea S. LaPaugh	 proof systems
David Gries	 proof systems
Raed Abu Zitar	 proof systems
Reinhard M&auml;nner	 proof systems
Sriram Padmanabhan	 proof systems
David H. Laidlaw	 proof theory
Michael M. J. Zastre	 proof.
Fran&ccedil;ois Guimbreti&egrave;re	 proofs
Maik St&uuml;hrenberg	 proofs
Maureen J. Simmonds	 PROOFS fault simulation package
Oliver G&uuml;nther	 PROOFS fault simulation package
Thomas Zeugmann	 PROOFS fault simulation package
Helen C. Purchase	 Proofs of Security
Reiner H&auml;hnle	 Proofs of Security
Andr&eacute; Galligo	 proofs-as-programs
Charles Cavanaugh	 proofs-as-programs
Ellen J. Bass	 proofs-as-programs
Michael Zyda	 proofs-as-programs
Siddhartha Chatterjee	 proofs-as-programs
Frank Neven	 propagation delay
Lo&iuml;c H&eacute;lou&euml;t	 propagation delay
Maxime Crochemore	 propagation delay
Shrideep Pallickara	 propagation delay
Yolanda Gonz&aacute;lez Cid	 propagation delay
Jie Wu	 propagation delays
Sunglok Choi	 propagation delays
A. Nur Zincir-Heywood	 propagation of degrees of freedom
Jiawei Han	 propagation of degrees of freedom
Sara Johansson	 propagation of degrees of freedom
C&eacute;cile Paris	 propagation of information with feedback
Carole Adam	 propagation of information with feedback
Sara Johansson	 propagation of information with feedback
Andreas Kassler	 propagation patterns
Eric Horvitz	 propagation patterns
Manuel Serrano	 propagation prediction
Norbert Breier	 propagation prediction
Andreas Krall	 propagation-directive calculus
Eric J. Friedman	 propagation-directive calculus
Fernando Lu&iacute;s Semi&atilde;o da Silva	 ProperMIS
Maurelio Boari	 ProperMIS
Thomas Zimmermann	 ProperMIS
Vali Lalioti	 ProperMIS
Wilfred F. van Gunsteren	 ProperMIS
Maurice Bruynooghe	 ProperPROOFS
Oliver Gronz	 ProperPROOFS
Thomas Zurek	 ProperPROOFS
Kay G. Schulze	 property oriented abstraction
Michael N. Barth	 property oriented abstraction
Jean-Marc J&eacute;z&eacute;quel	 property testing
Maurizio Gabbrielli	 property testing
Faouzi Alaya Cheikh	 proportional delay
Jerry L. Prince	 proportional delay
Wenbing Zhao	 proportional delay
Farhad Dadgostar	 proportional delay differentiated services
Jerry M. Weinberg	 proportional delay differentiated services
Wen-Chieh Chang 0002	 proportional delay differentiated services
Fariba Sadri	 proportional delay model
Jerry R. Hobbs	 proportional delay model
Wendy A. Kellogg	 proportional delay model
Lakhmi C. Jain	 proportional share
Massimiliano Di Luca	 proportional share
Ramarathnam Venkatesan	 proportional share
Roger M. Needham	 proportional share
Harry G. Perros	 proportional share resource allocation algorithm
Holger Hermanns	 proportional share resource allocation algorithm
Luciano Paschoal Gaspary	 proportional share resource allocation algorithm
Rainer Oechsle	 proportional share resource allocation algorithm
Upamanyu Madhow	 proportional share resource allocation algorithm
Jugurta Lisboa Filho	 propositional temporal logic
Klaus U. Schulz	 propositional temporal logic
Dominique Colnet	 protected address spaces
Hilda Tellioglu	 protected address spaces
Jean-Pierre Chevallet	 Protected Objects
Kolja B. Knauer	 Protected Objects
St&eacute;phane Jean	 Protected Objects
Fereidoon Sadri	 protection
Kurt N&oslash;rmark	 protection
Marina Papatriantafilou	 protection
Robert F. Erbacher	 protection
Ugo Vaccaro	 protection domains
Roberto Cipolla	 protection groups
Lutz Priese	 protein folding
Richard Cox	 protein folding
Violaine Prince	 protein folding
Jack S. N. Jean	 protocol
Jennifer Dworak	 protocol
Julien Langou	 protocol
Laurent Pautet	 protocol
Mark K. Goldberg	 protocol
Metin N. Gurcan	 protocol
Michael Herczeg	 protocol
Peter F. Linington	 protocol
Roger Mohr	 protocol
Sebastiano Battiato	 protocol
Keith W. Hipel	 protocol analysis
Keith W. Ross	 protocol analysis
Rocco A. Servedio	 protocol analysis
Rocco De Nicola	 protocol analysis
Denilson Barbosa	 protocol bugs
Hans-Peter Schwefel	 protocol bugs
Ing-Ray Chen	 protocol compiler
Joseph E. Urban	 protocol compiler
Kittisak Kerdprasop	 protocol compiler
Rada Mihalcea	 protocol compiler
Raimund Seidel	 protocol compiler
Richard M. Voyles	 protocol compiler
Bruno N. Di Stefano	 Protocol Composition
Carlos Castillo	 Protocol Composition
Ethem Alpaydin	 Protocol Composition
Goos Kant	 Protocol Composition
Helena Ahonen-Myka	 protocol composition
Mark E. J. Newman	 Protocol Composition
Radha Chitta	 Protocol Composition
Riccardo Bettati	 Protocol Composition
Roger S. Barga	 Protocol Composition
Brian Whitworth	 Protocol Control Block
Gudmund Skovbjerg Frandsen	 Protocol Control Block
Kristian Torp	 protocol conversion
Udo Nink	 protocol conversion
Yong Huat Chew	 protocol conversion
Bruno R. Preiss	 Protocol Design
Carlos Delgado Kloos	 Protocol Design
Eug&egrave;ne C. Ezin	 Protocol Design
Gopal Gupta	 Protocol Design
Mark G. Lee	 Protocol Design
Radha Jagadeesan	 Protocol Design
Riccardo Cassinis	 Protocol Design
Roger W. Schvaneveldt	 Protocol Design
Juan Antonio G&oacute;mez Pulido	 Protocol Engines
Klaus Pohl	 Protocol Engines
Radu Siminiceanu	 Protocol Engines
Mikel Larrea	 protocol failure.
Venkata N. Padmanabhan	 protocol failure.
Doug Lea	 protocol families
Michael Schneider 0002	 protocol families
Tommi A. Junttila	 protocol families
Olivier Festor	 protocol idealization
Brigitte Endres-Niggemeyer	 Protocol Implementation
Gudrun Fischer	 Protocol Implementation
Kristoffer Sj&ouml;&ouml;	 protocol independent multicast protocol
Peter J. Denning	 protocol independent multicast protocol
Michael Himsolt	 protocol interleaving attack
Tom Fawcett	 Protocol performance
Barbara I. Wohlmuth	 protocol processing
Kenrick J. Mock	 protocol processing
Nasrollah Moghaddam Charkari	 protocol processing
Peter Christen	 protocol processing
Petros Maragos	 protocol processing
Volker Schulz	 protocol processing
Brian Knight	 protocol robustness
Jonathan F. Buss	 protocol robustness
Marvin S. Seppanen	 protocol robustness
Nuno Jardim Nunes	 protocol robustness
Barbara J. Grosz	 protocol session
Nassir Navab	 protocol session
Jeffrey Dean	 protocol specification
Vebjorn Ljosa	 protocol specification
Olivier Finkel	 protocol syntax
A. L. Narasimha Reddy	 protocols
Arun Lakhotia	 protocols
Barbara K&ouml;nig	 protocols
Dominique de Werra	 protocols
Eduardo J. Spinosa	 protocols
Eike Best	 protocols
Frances E. Allen	 protocols
Hildrun Kretschmer	 protocols
Hongjun Lu	 protocols
Ingrid Bausch-Gall	 protocols
Jalal Mahmud	 protocols
Johann Christoph Freytag	 protocols
Joseph Feller	 protocols
Juliette Blanchet	 protocols
Julinda Gllavata	 protocols
Katherine J. Kuchenbecker	 protocols
Keki B. Irani	 protocols
Kent A. Walstrom	 protocols
Kjell Bratbergsengen	 protocols
Kjell Orsborn	 protocols
Klaus Didrich	 protocols
Kok Lay Teo	 protocols
Lidong Zhou	 protocols
Lorie M. Liebrock	 protocols
Lothar Baum	 protocols
Marco Maratea	 protocols
Margaret Ross	 protocols
Margaret-Anne D. Storey	 protocols
Mark Keil	 protocols
Martin Wunderli	 protocols
Matthew N. Dailey	 protocols
Meurig Beynon	 protocols
Michael Hess	 protocols
Natalia Juristo Juzgado	 protocols
Nigel M. Allinson	 protocols
Nils Weskamp	 protocols
Peter D. Lawrence	 protocols
Peter Grzybek	 protocols
Petru Eles	 protocols
Prasant Mohapatra	 protocols
Radha Chitta	 protocols
Rainer B&ouml;hme	 protocols
Ramanathan V. Guha	 protocols
Reiner W. Hartenstein	 protocols
Richard M. Wilson	 protocols
Robert Full&eacute;r	 protocols
Robert Nieuwenhuis	 protocols
Rockford J. Ross	 protocols
Russell Greiner	 Protocols
Santi Caball&eacute;	 protocols
Seif Haridi	 protocols
Sharon A. Stansfield	 protocols
Sivarama P. Dandamudi	 protocols
Stuart C. Shapiro	 protocols
Tainchi Lu	 protocols
Thom W. Fr&uuml;hwirth	 protocols
Thomas Brinkhoff	 protocols
Uzay Kaymak	 protocols
Vincenzo Della Mea	 protocols
Volker Sperschneider	 protocols
Kellogg S. Booth	 protocols-composition of
Roderic A. Grupen	 protocols-composition of
David R. Kaeli	 prototype faces
Pong Chi Yuen	 prototype faces
Andr&eacute; van der Hoek	 prototype implementation
Christian J. Walder	 prototype implementation
Jun Sun 0003	 prototype implementation
Markus Baumeister	 prototype implementation
Markus M. Breunig	 prototype implementation
Xavier Franch	 prototype implementation
Jessica Lin 0001	 prototype software system
Neil V. Murray	 prototype software system
William H. Sanders	 prototype software system
William I. Gasarch	 prototype software system
Borivoj Melichar	 prototype system
Karin Harbusch	 prototype system
Ma&iacute;ra Ribeiro Rodrigues	 prototype system
Mesaac Makpangou	 prototype system
Nicola Olivetti	 prototype system
Richard Discenza	 prototype system
Sam Lightstone	 prototype system
Alan W. Black	 prototype systems
Bita Gorjiara	 prototype systems
Hartmut K&ouml;nig	 prototype systems
M. Arief	 prototype systems
Jana Dittmann	 Prototype Verification System
Lutz Priese	 Prototype Verification System
Langford B. White	 prototypical images
Nenad Marovac	 prototypical images
Poorvi L. Vora	 prototypical images
Michela Bertolotto	 prototypical tools
Amir Averbuch	 prototyping
Chris Volinsky	 prototyping
Craig B. Zilles	 Prototyping
Delia Kesner	 prototyping
Dell Zhang	 prototyping
J&uuml;rgen Dassow	 prototyping
Jacob Masliyah	 prototyping
Jacob Scott	 prototyping
Kazuaki Ishizaki	 prototyping
Kevin Elphinstone	 prototyping
Klaus David	 prototyping
Liming Cai	 prototyping
Maria Simosi	 prototyping
Mark Liberman	 prototyping
Mary Sanseverino	 Prototyping
Masami Hagiya	 prototyping
Matteo Sereno	 prototyping
Melanie A. Sutton	 prototyping
Michael Hoffmann	 Prototyping
Mohsen Kahani	 prototyping
Nadia Bennani	 prototyping
Nadia Busi	 prototyping
Pinaki Mazumder	 prototyping
Pravin Varaiya	 Prototyping
Ralf Steinmetz	 Prototyping
Raphael A. Finkel	 prototyping
Ricardo C. Farias	 Prototyping
Richard P. Brent	 Prototyping
Rolf K&auml;ckenhoff	 Prototyping
Samuel T. Chanson	 Prototyping
Shiwen Mao	 prototyping
Thierry Larue	 prototyping
Witold Dzwinel	 Prototyping
Yintao Yu	 prototyping
Yue Joseph Wang	 prototyping
Erkki Oja	 provable security
Erkki Sutinen	 provable security
Mark Horowitz	 provable security
Mark J. Clement	 provable security
Mattias Seeman	 Provable Security
Rudolf Ferenc	 provable security
Rudolf Fleischer	 provable security
Frank Wm. Tompa	 Provable Security.
Richard Walker 0002	 provable security.
Ron Weiss	 provable security.
Ronald C. Arkin	 Provable Security.
Victor Chepoi	 provable security.
Victor Ciesielski	 Provable Security.
Vipul Mathur	 provable security.
Wolfgang Kastner	 Provable Security.
Manfred K. Lang	 proven security.
Michele Bugliesi	 proven security.
Shriram Krishnamurthi	 Prowess
Yolande Bela&iuml;d	 Prowess
Patrick Amestoy	 proxemics
Roberto Gorrieri	 proxemics
Thiruvengadam Radhakrishnan	 proxemics
Kristin M. Tolle	 proxies
Udo Seiffert	 proxies
Yong Liang	 proxies
Lars Schmidt-Thieme	 proximity
Paolo Dario	 proximity
Gregor Engels	 proximity query
Johan A. du Preez	 proximity query
Johan A. Pouwelse	 proximity query
Michael Tautschnig	 proximity query
Ning Zhong 0002	 proximity query
Yunmei Chen	 proximity query
Christoph Steigner	 proxy
Helmut Alt	 proxy
Jack Snoeyink	 proxy
Jennifer Jie Xu	 proxy
John R. Myhill	 proxy
Kazuo Misue	 proxy
Laurent Philippe 0002	 proxy
Peter F. Patel-Schneider	 proxy
Robert W. Robinson	 proxy
Roger S. Barga	 proxy
Stefan Sch&ouml;nauer	 proxy
Sue Harding	 proxy
Torsten Eymann	 proxy
Umberto Nanni	 proxy
Gerard J. Holzmann	 proxy architecture
Masaaki Mizuno	 proxy architecture
Nazim H. Madhavji	 proxy architecture
Steve M. Easterbrook	 proxy architecture
Eerke A. Boiten	 proxy cache
Svein-Olaf Hvasshovd	 proxy cache
Thomas J. E. Schwarz	 proxy cache
Winfried E. K&uuml;hnhauser	 proxy cache
Darius Burschka	 proxy hierarchy
Hai-Xiang Lin	 proxy hierarchy
Rajive Bagrodia	 proxy hierarchy
Edmund M. Clarke	 proxy server
Kavita Bala	 proxy server
Massimo Ancona	 proxy server
Mohammad Ali Abam	 proxy server
Anna Pogosyants	 proxy server.
Louis D. Nel	 proxy server.
Tharam S. Dillon	 proxy server.
Carlos A. S. Oliveira	 proxy servers
Christian Freksa	 proxy servers
C. William Gear	 pruning
David R. Musser	 pruning
Michal Okoniewski	 pruning
Shang-Hua Teng	 pruning
Csaba Andras Moritz	 pseudo-Mersenne primes
Changhee Joo	 pseudonym
Francesca Mazzia	 pseudonym
Lynne M. Reder	 pseudonym
Mark D. Hill	 pseudonym
Oddur Benediktsson	 pseudonym
L. Venkata Subramaniam	 pseudonymity
Laurence Tianruo Yang	 pseudonymity
Maurelio Boari	 pseudonymity
Ruy Ley-Wild	 pseudonymity
S. Doaitse Swierstra	 pseudonymity
Simon Litsyn	 pseudonymity
Raphael B. Yehezkael	 pseudonymous multicast
Eve E. Hoggan	 pseudonyms
Iria Est&eacute;vez-Ayres	 pseudonyms
Zhong Shao	 pseudonyms
Antonio Natali	 pseudo-optimal shortest path
Martin D. Davis	 pseudo-optimal shortest path
Raymond E. Miller	 pseudo-optimal shortest path
Renata Wassermann	 pseudo-optimal shortest path
Udi Wieder	 pseudo-optimal shortest path
Giorgio Levi	 pseudo-random functions
Peter M&uuml;ller	 pseudo-random functions
Tom Mens	 pseudo-random functions
Yuhan Cai	 pseudo-random functions
Jian-Yun Nie	 pseudo-random generators
Marcin Lawenda	 pseudo-random generators
Peter Dittrich	 pseudo-random generators
Saeid Belkasim	 pseudo-random generators
Simon M. Lucas	 Pseudo-Random Testing
Jianzhong Li	 pseudorandomness
Juergen Rilling	 pseudorandomness
Luca Cardelli	 pseudorandomness
David Casasent	 PSNR
Paulo J. G. Lisboa	 PSNR
Massimo Ancona	 PSO
Matthias Jarke	 PSO
Chew Lim Tan	 PSPACE
Dirk Vermeir	 PSPACE
Olivier Danvy	 PSPACE
Walter Christian Kammergruber	 PSPACE
Witold Dzwinel	 PSPACE
Gerhard R. Joubert	 psychoacoustic models
Jean-Jacques Lesage	 psychoacoustic models
Michael D. Ernst	 psychoacoustic models
Rezaul Alam Chowdhury	 psychometric properties
Mahadevan Subramaniam	 psychophysical stimuli
Pavel Gladyshev	 psychophysical stimuli
Munindar P. Singh	 psychophysics
Wilf R. LaLonde	 psychophysics
HweeHwa Pang	 pthread
Kathy J. Liszka	 pthread
Abbas Edalat	 Ptolemy
James K. Archibald	 Ptolemy
Paolo Petta	 Ptolemy
Clifford Nass	 public information kiosks
Philippa Gardner	 public information kiosks
Carlos A. Vanegas	 public key cryptography
Christian Fritz	 public key cryptography
Laurent Dayn&egrave;s	 public key cryptography
Oliver Kennedy	 public key cryptography
Pradeep K. Khosla	 public key cryptography
Leslie G. Valiant	 public key infrastructure
Phuoc Tran-Gia	 public key infrastructure
Tomasz Truderung	 public key infrastructure
Svein Erik Bratsberg	 public-key based schemes
Kai Yu	 public-key cryptosystems
Loo Geok Pee	 public-key cryptosystems
Michalis Nik Xenos	 public-key cryptosystems
Patricia Eigner	 public-key cryptosystems
Tak Wah Lam	 public-key cryptosystems
Bruno A. Olshausen	 public-key infrastructure
Emmanuel Polonowski	 public-key infrastructure
John W. Byers	 public-key infrastructure
L&aacute;szl&oacute; Lov&aacute;sz	 Publisher/Subsrciber Model
Peter D. Turney	 Publisher/Subsrciber Model
John Seely Brown	 publishing data
Karl Sammut	 publishing data
Riitta H&ouml;llerer	 publishing data
